Timestamp,Time_sec,Mode,CAN_OBC Input Voltage (V),CAN_OBC Input Current (A),CAN_OBC Output Voltage (V),CAN_OBC Output Current (A),CAN_OBC_Input_Power (W),CAN_OBC_Output_Power (W),CAN_OBC Efficiency (%),CAN_HPDCDC Input Voltage (V),CAN_HPDCDC Input Current (A),CAN_HPDCDC Output Voltage (V),CAN_HPDCDC Output Current (A),CAN_HPDCDC_Input_Power (W),CAN_HPDCDC_Output_Power (W),CAN_HPDCDC_Efficiency (%),CAN_OBC_TEMP (°C),CAN_OBC_FET_TEMP (°C),CAN_HPDCDC_TEMP (°C),HW_OBC Input Voltage (V),HW_OBC Input Current (A),HW_OBC Output Voltage (V),HW_OBC Output Current (A),HW_OBC_Input_Power (W),HW_OBC_Output_Power (W),HW_OBC Efficiency (%),HW_HPDCDC Input Voltage (V),HW_HPDCDC Input Current (A),HW_HPDCDC Output Voltage (V),HW_HPDCDC Output Current (A),HW_HPDCDC_Input_Power (W),HW_HPDCDC_Output_Power (W),HW_HPDCDC_Efficiency (%),HW_OBC_TEMP (°C),HW_OBC_FET_TEMP (°C),HW_HPDCDC_TEMP (°C)
2026-08-29 12:11:23,0.0,Charge,224.78,9.57,101.69,20.09,2129.633154,2042.9521,95.92976593939709,101.68,0.0,13.97,1.76,0.0,24.587200000000003,0,90.0,107.0,90.0,232.65,10.721,99.96,19.306,2481.6,1929.7,77.76031592520954,,,,,,,0,,,
2026-08-29 12:11:24,0.0,Charge,225.09,9.620000000000001,101.69,19.95,2143.712142,2028.7154999999998,94.63563042131614,101.67,0.0,13.99,1.74,0.0,24.3426,0,90.0,106.0,90.0,232.65,10.726,99.96,19.291,2482.6,1928.1,77.66454523483445,,,,,,,0,,,
2026-08-29 12:11:25,0.0,Charge,225.12,9.56,101.69,20.05,2130.6257280000004,2038.8845000000001,95.69416501479512,101.71000000000001,0.0,13.96,1.73,0.0,24.1508,0,90.0,107.0,90.0,232.66,10.719,99.96,19.305,2482.3,1929.6,77.73435926358619,,,,,,,0,,,
2026-08-29 12:11:26,0.0,Charge,224.89000000000001,9.69,101.66,20.1,2157.3922589999997,2043.366,94.7146255612851,101.66,0.0,13.99,1.72,0.0,24.0628,0,89.0,107.0,90.0,232.74,10.717,99.96,19.297,2482.0,1928.8,77.71152296535053,,,,,,,0,,,
2026-08-29 12:11:27,0.0,Charge,225.19,9.67,101.65,19.86,2155.811427,2018.769,93.64311621676917,101.67,0.0,13.98,1.62,0.0,22.6476,0,90.0,107.0,90.0,232.66,10.722,99.96,19.302,2481.7,1929.3,77.74106459281944,,,,,,,0,,,
2026-08-29 12:11:28,0.0,Charge,225.15,9.700000000000001,101.66,19.8,2162.1154500000002,2012.868,93.09715630587625,101.67,0.0,13.99,1.7,0.0,23.783,0,90.0,107.0,90.0,232.75,10.711,99.96,19.295,2480.1,1928.6,77.76299342768436,,,,,,,0,,,
2026-08-29 12:11:29,0.0,Charge,225.36,9.59,101.66,19.900000000000002,2139.590376,2023.034,94.55239763146139,101.66,0.0,13.97,1.69,0.0,23.6093,0,90.0,107.0,90.0,232.71,10.713,99.96,19.302,2479.9,1929.3,77.79749183434815,,,,,,,0,,,
2026-08-29 12:11:30,0.0,Charge,225.18,9.68,101.66,20.04,2157.944976,2037.2663999999997,94.40770838264412,101.65,0.0,13.97,1.68,0.0,23.4696,0,90.0,106.0,90.0,232.72,10.709,99.96,19.294,2479.4,1928.4,77.77688150358958,,,,,,,0,,,
2026-08-29 12:11:31,0.0,Charge,225.21,9.56,101.69,20.400000000000002,2131.4775240000004,2074.476,97.32572718416334,101.68,0.0,13.99,1.67,0.0,23.3633,0,90.0,106.0,90.0,232.66,10.722,99.96,19.303,2481.9,1929.4,77.73882912284942,,,,,,,0,,,
2026-08-29 12:11:32,0.0,Charge,225.23000000000002,9.57,101.68,20.27,2133.8965890000004,2061.0536,96.5863861737491,101.69,0.0,13.97,1.6600000000000001,0.0,23.190200000000004,0,90.0,106.0,90.0,232.76,10.707,99.96,19.299,2478.9,1929.0,77.81677356892169,,,,,,,0,,,
