Timestamp,Time_sec,Mode,CAN_OBC Input Voltage (V),CAN_OBC Input Current (A),CAN_OBC Output Voltage (V),CAN_OBC Output Current (A),CAN_OBC_Input_Power (W),CAN_OBC_Output_Power (W),CAN_OBC Efficiency (%),CAN_HPDCDC Input Voltage (V),CAN_HPDCDC Input Current (A),CAN_HPDCDC Output Voltage (V),CAN_HPDCDC Output Current (A),CAN_HPDCDC_Input_Power (W),CAN_HPDCDC_Output_Power (W),CAN_HPDCDC_Efficiency (%),CAN_OBC_TEMP (°C),CAN_OBC_FET_TEMP (°C),CAN_HPDCDC_TEMP (°C),HW_OBC Input Voltage (V),HW_OBC Input Current (A),HW_OBC Output Voltage (V),HW_OBC Output Current (A),HW_OBC_Input_Power (W),HW_OBC_Output_Power (W),HW_OBC Efficiency (%),HW_HPDCDC Input Voltage (V),HW_HPDCDC Input Current (A),HW_HPDCDC Output Voltage (V),HW_HPDCDC Output Current (A),HW_HPDCDC_Input_Power (W),HW_HPDCDC_Output_Power (W),HW_HPDCDC_Efficiency (%),HW_OBC_TEMP (°C),HW_OBC_FET_TEMP (°C),HW_HPDCDC_TEMP (°C)
2026-08-29 14:33:49,0.0,Discharge,,,,,0.0,0,0,,,,,0,0,0,,,,,,,,,,0,0.0,0.06036,,,0.0,,0,,,
2026-08-29 14:33:50,0.0,Discharge,0.0,0.0,99.87,0.0,0.0,0.0,0,99.81,8.370000000000001,0.19,1.33,835.4097000000002,0.25270000000000004,0.030248631300306902,26.0,27.0,27.0,,,,,,,0,777770000000.0,777770000000.0,,,777770000000.0,,0.0,,,
2026-08-29 14:33:51,0.0,Discharge,0.0,0.0,100.28,0.0,0.0,0.0,0,100.35000000000001,1.06,13.13,4.46,106.37100000000001,58.5598,55.05241090146751,29.0,29.0,29.0,,,,,,,0,777770000000.0,777770000000.0,,,777770000000.0,,0.0,,,
2026-08-29 14:33:52,0.0,Discharge,0.0,0.0,100.53,0.0,0.0,0.0,0,100.54,1.1,13.9,4.45,110.59400000000002,61.855000000000004,55.92979727652494,31.0,31.0,31.0,,,,,,,0,0.0,0.9633,,,0.0,,0,,,
2026-08-29 14:33:53,0.0,Discharge,0.0,0.0,100.57000000000001,0.0,0.0,0.0,0,100.57000000000001,1.03,13.98,4.46,103.5871,62.3508,60.191664792237646,34.0,33.0,33.0,,,,,,,0,0.0,0.9633,,,0.0,,0,,,
2026-08-29 14:33:54,0.0,Discharge,0.0,0.0,100.57000000000001,0.0,0.0,0.0,0,100.57000000000001,1.01,13.96,4.46,101.57570000000001,62.2616,61.29576266764589,34.0,33.0,33.0,,,,,,,0,0.0,0.9665,,,0.0,,0,,,
2026-08-29 14:33:55,0.0,Discharge,0.0,0.0,100.57000000000001,0.0,0.0,0.0,0,100.57000000000001,1.05,13.96,4.45,105.59850000000002,62.12200000000001,58.828487147071215,34.0,34.0,34.0,,,,,,,0,0.0,0.9655,,,0.0,,0,,,
2026-08-29 14:33:56,0.0,Discharge,0.0,0.0,100.57000000000001,0.0,0.0,0.0,0,100.58,1.06,13.97,4.45,106.6148,62.166500000000006,58.30944671846686,34.0,34.0,34.0,,,,,,,0,0.0,0.9652,,,0.0,,0,,,
2026-08-29 14:33:57,0.0,Discharge,0.0,0.0,100.57000000000001,0.0,0.0,0.0,0,100.57000000000001,0.98,13.96,4.45,98.5586,62.12200000000001,63.030521943290594,34.0,34.0,34.0,,,,,,,0,0.0,0.9632,,,0.0,,0,,,
2026-08-29 14:33:58,0.0,Discharge,0.0,0.0,100.57000000000001,0.0,0.0,0.0,0,100.58,1.04,13.96,4.45,104.6032,62.12200000000001,59.388240512718546,34.0,34.0,34.0,,,,,,,0,0.0,0.9636,,,0.0,,0,,,
2026-08-29 14:33:59,0.0,Discharge,0.0,0.0,100.57000000000001,0.0,0.0,0.0,0,100.57000000000001,1.03,13.97,4.45,103.5871,62.166500000000006,60.013746885471264,34.0,34.0,34.0,,,,,,,0,0.0,0.9646,,,0.0,,0,,,
2026-08-29 14:34:00,0.0,Discharge,0.0,0.0,100.57000000000001,0.0,0.0,0.0,0,100.58,1.03,13.98,4.45,103.59740000000001,62.211000000000006,60.05073486400237,34.0,34.0,34.0,,,,,,,0,0.0,0.9633,,,0.0,,0,,,
2026-08-29 14:34:01,0.0,Discharge,0.0,0.0,100.58,0.0,0.0,0.0,0,100.58,1.06,13.99,4.45,106.6148,62.255500000000005,58.392924809688715,34.0,34.0,34.0,,,,,,,0,0.0,0.9639,,,0.0,,0,,,
2026-08-29 14:34:02,0.0,Discharge,0.0,0.0,100.57000000000001,0.0,0.0,0.0,0,100.58,1.1,14.0,4.45,110.638,62.300000000000004,56.309766987834195,34.0,34.0,34.0,,,,,,,0,0.0,0.963,,,0.0,,0,,,
2026-08-29 14:34:03,0.0,Discharge,0.0,0.0,100.57000000000001,0.0,0.0,0.0,0,100.57000000000001,0.99,13.96,4.45,99.5643,62.12200000000001,62.39385000446948,34.0,34.0,34.0,,,,,,,0,0.0,0.9639,,,0.0,,0,,,
2026-08-29 14:34:04,0.0,Discharge,0.0,0.0,100.58,0.0,0.0,0.0,0,100.58,1.02,13.99,4.46,102.5916,62.3954,60.81920936996792,34.0,34.0,34.0,,,,,,,0,0.0,0.9632,,,0.0,,0,,,
