Timestamp,Time_sec,Mode,CAN_OBC Input Voltage (V),CAN_OBC Input Current (A),CAN_OBC Output Voltage (V),CAN_OBC Output Current (A),CAN_OBC_Input_Power (W),CAN_OBC_Output_Power (W),CAN_OBC Efficiency (%),CAN_HPDCDC Input Voltage (V),CAN_HPDCDC Input Current (A),CAN_HPDCDC Output Voltage (V),CAN_HPDCDC Output Current (A),CAN_HPDCDC_Input_Power (W),CAN_HPDCDC_Output_Power (W),CAN_HPDCDC_Efficiency (%),CAN_OBC_TEMP (°C),CAN_OBC_FET_TEMP (°C),CAN_HPDCDC_TEMP (°C),HW_OBC Input Voltage (V),HW_OBC Input Current (A),HW_OBC Output Voltage (V),HW_OBC Output Current (A),HW_OBC_Input_Power (W),HW_OBC_Output_Power (W),HW_OBC Efficiency (%),HW_HPDCDC Input Voltage (V),HW_HPDCDC Input Current (A),HW_HPDCDC Output Voltage (V),HW_HPDCDC Output Current (A),HW_HPDCDC_Input_Power (W),HW_HPDCDC_Output_Power (W),HW_HPDCDC_Efficiency (%),HW_OBC_TEMP (°C),HW_OBC_FET_TEMP (°C),HW_HPDCDC_TEMP (°C)
2026-08-29 15:13:42,0.0,Charge,232.97,0.13,100.14,0.0,29.983239,0.0,0.0,100.15,1.02,6.9,1.05,102.153,7.245000000000001,7.092302722387009,79.0,83.0,81.0,234.95,1.5897,777770000000.0,777770000000.0,266.2,777770000000.0,292175056348.61005,,,,,,,0,,,
2026-08-29 15:13:43,0.0,Charge,232.79,0.12,99.92,0.0,27.655452,0.0,0.0,100.03,3.3200000000000003,12.67,18.28,332.0996,231.60760000000002,69.74040318025074,79.0,83.0,81.0,234.92,1.5676,777770000000.0,777770000000.0,261.5,777770000000.0,297426386233.2696,,,,,,,0,,,
2026-08-29 15:13:44,0.0,Charge,231.17000000000002,1.47,100.2,1.03,336.42170100000004,103.206,30.67756916192514,100.15,0.0,14.15,16.32,0.0,230.928,0,79.0,83.0,81.0,234.77,1.5684,99.97,999990000000.0,260.8,-394.52,-151.2730061349693,,,,,,,0,,,
2026-08-29 15:13:45,0.0,Charge,222.36,8.97,101.53,18.56,1974.6235080000004,1884.3968,95.43068804587531,101.54,0.0,13.99,1.79,0.0,25.0421,0,79.0,83.0,81.0,777770000000.0,777770000000.0,777770000000.0,777770000000.0,777770000000.0,777770000000.0,100.0,,,,,,,0,,,
2026-08-29 15:13:46,0.0,Charge,222.82,9.55,101.65,20.28,2106.65169,2061.4620000000004,97.85490452861718,101.64,0.0,13.98,1.75,0.0,24.465,0,79.0,83.0,81.0,229.85,10.617,777770000000.0,777770000000.0,2429.1,777770000000.0,32018854719.855095,,,,,,,0,,,
2026-08-29 15:13:47,0.0,Charge,223.44,9.67,101.64,19.87,2139.058152,2019.5868,94.41476839288846,101.66,0.0,13.99,1.74,0.0,24.3426,0,79.0,83.0,81.0,230.16,10.723,99.97,19.12,2455.6,1911.2,77.83026551555629,,,,,,,0,,,
2026-08-29 15:13:48,0.0,Charge,223.19,9.74,101.65,19.830000000000002,2152.131894,2015.7195000000004,93.66152258696094,101.67,0.0,13.98,1.72,0.0,24.0456,0,79.0,83.0,81.0,230.29,10.725,99.97,19.142,2456.9,1913.4,77.87862753876837,,,,,,,0,,,
2026-08-29 15:13:49,0.0,Charge,223.53,9.74,101.64,19.76,2155.410378,2008.4064,93.17976847933689,101.66,0.0,13.97,1.62,0.0,22.631400000000003,0,79.0,83.0,81.0,230.27,10.733,99.97,19.154,2459.0,1914.5,77.85685237901586,,,,,,,0,,,
2026-08-29 15:13:50,0.0,Charge,223.61,9.700000000000001,101.65,20.1,2147.3268300000004,2043.1650000000002,95.14923259259979,101.65,0.0,13.97,1.71,0.0,23.8887,0,79.0,83.0,81.0,230.51,10.728,99.97,19.166,2461.4,1915.7,77.82969042008612,,,,,,,0,,,
2026-08-29 15:13:51,0.0,Charge,223.20000000000002,9.73,101.65,20.13,2150.0186400000002,2046.2145,95.17194232325352,101.66,0.0,13.99,1.69,0.0,23.6431,0,79.0,83.0,81.0,230.4,10.737,99.97,19.165,2461.8,1915.7,77.81704443902835,,,,,,,0,,,
