Timestamp,Time_sec,Mode,CAN_OBC Input Voltage (V),CAN_OBC Input Current (A),CAN_OBC Output Voltage (V),CAN_OBC Output Current (A),CAN_OBC_Input_Power (W),CAN_OBC_Output_Power (W),CAN_OBC Efficiency (%),CAN_HPDCDC Input Voltage (V),CAN_HPDCDC Input Current (A),CAN_HPDCDC Output Voltage (V),CAN_HPDCDC Output Current (A),CAN_HPDCDC_Input_Power (W),CAN_HPDCDC_Output_Power (W),CAN_HPDCDC_Efficiency (%),CAN_OBC_TEMP (°C),CAN_OBC_FET_TEMP (°C),CAN_HPDCDC_TEMP (°C),HW_OBC Input Voltage (V),HW_OBC Input Current (A),HW_OBC Output Voltage (V),HW_OBC Output Current (A),HW_OBC_Input_Power (W),HW_OBC_Output_Power (W),HW_OBC Efficiency (%),HW_HPDCDC Input Voltage (V),HW_HPDCDC Input Current (A),HW_HPDCDC Output Voltage (V),HW_HPDCDC Output Current (A),HW_HPDCDC_Input_Power (W),HW_HPDCDC_Output_Power (W),HW_HPDCDC_Efficiency (%),HW_OBC_TEMP (°C),HW_OBC_FET_TEMP (°C),HW_HPDCDC_TEMP (°C)
2026-08-27 10:12:59,0.0,Charge,224.29,9.56,101.72,19.84,2122.7702759999997,2018.1248,95.07033440296769,101.73,0.0,14.09,1.75,0.0,24.6575,0,63.0,68.0,59.0,231.27,9.918,99.96,18.998,2281.6,1898.7,83.2179172510519,,,,,,,0,,,
2026-08-27 10:13:00,1.0,Charge,224.48000000000002,9.49,101.72,19.59,2109.012048,1992.6948,94.4847518481317,101.74000000000001,0.0,14.08,1.73,0.0,24.3584,0,63.0,68.0,59.0,231.67,9.854,99.96,19.004,2271.0,1899.4,83.63716424482607,,,,,,,0,,,
2026-08-27 10:13:01,2.0,Charge,224.23000000000002,9.540000000000001,101.71000000000001,19.900000000000002,2117.7626580000006,2024.0290000000005,95.57392998474525,101.75,0.0,14.030000000000001,1.73,0.0,24.271900000000002,0,63.0,68.0,59.0,231.44,9.894,99.95,18.997,2278.1,1898.7,83.34577059830562,,,,,,,0,,,
2026-08-27 10:13:02,3.0,Charge,224.55,9.52,101.72,20.04,2116.33884,2038.4687999999999,96.32053060085596,101.74000000000001,0.0,13.99,1.72,0.0,24.0628,0,63.0,68.0,59.0,231.53,9.851,99.95,19.001,2269.0,1899.0,83.69325694138386,,,,,,,0,,,
2026-08-27 10:13:03,4.0,Charge,224.97,9.67,101.74000000000001,20.080000000000002,2153.705301,2042.9392000000005,94.85695183326294,101.72,0.0,13.97,1.61,0.0,22.4917,0,63.0,68.0,59.0,231.51,9.861,99.96,18.993,2271.3,1898.3,83.57768678730241,,,,,,,0,,,
2026-08-27 10:13:04,5.0,Charge,224.85,9.5,101.73,20.29,2114.71425,2064.1017,97.6066482741108,101.73,0.0,14.01,1.71,0.0,23.9571,0,63.0,68.0,59.0,231.52,9.912,99.96,18.999,2283.0,1898.9,83.17564607971967,,,,,,,0,,,
2026-08-27 10:13:05,6.0,Charge,224.71,9.53,101.75,20.150000000000002,2120.071437,2050.2625000000003,96.70723656846287,101.72,0.0,14.01,1.7,0.0,23.817,0,63.0,68.0,59.0,231.43,9.922,99.95,18.999,2284.9,1898.8,83.10210512495075,,,,,,,0,,,
2026-08-27 10:13:06,7.0,Charge,224.55,9.53,101.73,20.150000000000002,2118.561885,2049.8595000000005,96.75712163584026,101.72,0.0,13.98,1.69,0.0,23.6262,0,63.0,68.0,59.0,231.54,9.915,99.95,19.003,2284.8,1899.3,83.12762605042016,,,,,,,0,,,
2026-08-27 10:13:07,8.0,Charge,224.25,9.52,101.71000000000001,20.13,2113.5114000000003,2047.4223,96.87301899578112,101.73,0.0,13.97,1.68,0.0,23.4696,0,63.0,68.0,59.0,231.5,9.927,99.95,19.003,2287.0,1899.3,83.04766069086139,,,,,,,0,,,
2026-08-27 10:13:08,9.0,Charge,224.18,9.53,101.72,19.63,2115.071046,1996.7635999999998,94.40645522410503,101.73,0.0,13.99,1.68,0.0,23.5032,0,63.0,68.0,59.0,231.49,9.934,99.96,18.997,2287.4,1898.6,83.00253562997288,,,,,,,0,,,
2026-08-27 10:13:09,10.0,Charge,223.96,9.56,101.72,19.93,2119.647024,2027.2795999999998,95.64232049231985,101.71000000000001,0.0,14.61,1.79,0.0,26.1519,0,63.0,68.0,59.0,231.44,9.946,99.96,19.007,2288.9,1899.7,82.99619904757743,,,,,,,0,,,
2026-08-27 10:13:10,11.0,Charge,224.18,9.53,101.73,19.57,2115.071046,1990.8561000000002,94.1271501855735,101.71000000000001,0.0,14.38,1.78,0.0,25.596400000000003,0,63.0,68.0,59.0,231.49,9.943,99.96,19.005,2288.9,1899.5,82.98746122591638,,,,,,,0,,,
2026-08-27 10:13:11,12.0,Charge,224.28,9.540000000000001,101.73,19.8,2118.2348880000004,2014.2540000000001,95.09115402691826,101.72,0.0,14.26,1.77,0.0,25.2402,0,63.0,68.0,59.0,231.52,9.942,99.96,19.004,2288.9,1899.4,82.98309231508586,,,,,,,0,,,
2026-08-27 10:13:12,13.0,Charge,224.01,9.5,101.72,19.89,2106.81405,2023.2108,96.03176891667302,101.72,0.0,14.13,1.76,0.0,24.8688,0,63.0,68.0,59.0,231.65,9.92,99.96,18.988,2286.0,1897.7,83.01399825021872,,,,,,,0,,,
2026-08-27 10:13:13,14.0,Charge,223.78,9.57,101.7,19.78,2120.158854,2011.6260000000002,94.88090933397581,101.73,0.0,14.1,1.75,0.0,24.675,0,63.0,68.0,59.0,231.53,9.926,99.96,19.001,2286.6,1899.1,83.05344179130587,,,,,,,0,,,
2026-08-27 10:13:14,15.0,Charge,223.93,9.540000000000001,101.74000000000001,20.07,2114.9292780000005,2041.9218000000003,96.54799435804112,101.71000000000001,0.0,13.98,1.6400000000000001,0.0,22.927200000000003,0,63.0,68.0,59.0,231.34,9.938,99.96,18.999,2287.0,1898.9,83.0301705290774,,,,,,,0,,,
2026-08-27 10:13:15,16.0,Charge,223.79,9.540000000000001,101.73,20.05,2113.607034,2039.6865000000003,96.5026358821249,101.75,0.0,14.08,1.74,0.0,24.4992,0,63.0,68.0,59.0,231.48,9.932,99.96,19.002,2287.2,1899.1,83.03165442462401,,,,,,,0,,,
2026-08-27 10:13:16,17.0,Charge,223.52,9.53,101.73,20.0,2108.8441439999997,2034.6000000000001,96.47939160363102,101.74000000000001,0.0,14.02,1.73,0.0,24.2546,0,63.0,68.0,59.0,231.33,9.92,99.96,19.006,2282.7,1899.6,83.21724273886187,,,,,,,0,,,
2026-08-27 10:13:17,18.0,Charge,223.64000000000001,9.540000000000001,101.75,20.35,2112.1903440000006,2070.6125,98.03152949173788,101.75,0.0,14.040000000000001,1.72,0.0,24.1488,0,63.0,68.0,59.0,231.5,9.937,99.96,19.004,2288.2,1899.4,83.00847827987066,,,,,,,0,,,
2026-08-27 10:13:18,19.0,Charge,223.64000000000001,9.540000000000001,101.75,20.36,2112.1903440000006,2071.63,98.07970223350286,101.71000000000001,0.0,14.01,1.71,0.0,23.9571,0,63.0,68.0,59.0,231.51,9.928,99.96,19.006,2286.1,1899.6,83.09347797559163,,,,,,,0,,,
2026-08-27 10:13:19,20.0,Charge,223.98000000000002,9.53,101.74000000000001,20.31,2113.1841059999997,2066.3394,97.78321700097058,101.69,0.0,3.7800000000000002,1.62,0.0,6.123600000000001,0,63.0,68.0,59.0,231.6,9.883,99.96,19.004,2276.8,1899.3,83.41971187631762,,,,,,,0,,,
